id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
38,"En una instalación de alumbrado exterior enterrada en la que es necesario realizar un cruce con una vía de circulación se respetará una profundidad mínima de:(ITC-BT 09 5.2.1)",,"0,8 m y bajo tubos protectores","0,4 m medidos desde la cota superior del tubo hasta el nivel del suelo, además los tubos deben de ir hormigonados","0,4 m medidos desde la cota inferior del tubo hasta el nivel del suelo, además los tubos deben de ir hormigonados","0,4 m medidos desde la cota superior del tubo hasta el nivel del suelo, además los tubos deben de ir hormigonados"
39,"¿Cuándo discurrirá la línea general de alimentación por el interior de una canaladura o conducto de obra de fábrica empotrado o adosado al hueco de la escalera por lugares de uso común?(ITC-BT 14)",,"Cuando discurra horizontalmente","Cuando discurra verticalmente","Cuando discurra verticalmente u horizontalmente","Cuando discurra verticalmente u horizontalmente"
40,"¿Cuántos interruptores generales de maniobra tendrá una concentración de contadores?(ITC-BT 16)",,"Un interruptor por cada derivación individual","Un interruptor por cada línea general de alimentación","Uno por cada edificio","Un interruptor por cada línea general de alimentación"
41,"En un local de 240 m² donde no está definida su partición, ¿cuántos tubos se instalarán como mínimo?(ITC-BT 15)",,"4 tubos","5 tubos","6 tubos","6 tubos"
42,"¿Cómo podrán instalarse las canalizaciones en un local de pública concurrencia?(ITC-BT 28)",,"Conductores aislados, de tensión asignada no inferior a 450/750 V, colocados bajo tubos o canales protectores clasificados como 'no propagadores de la llama'","Conductores aislados, de tensión asignada no inferior a 450/750 V, colocados bajo tubos o canales protectores clasificados obligatoriamente como 'libres de halógenos'","Ninguna de las respuestas anteriores es correcta","Conductores aislados, de tensión asignada no inferior a 450/750 V, colocados bajo tubos o canales protectores clasificados obligatoriamente como 'libres de halógenos'"
43,"¿Qué deberá preverse cuando una instalación generadora interconectada entrega energía a la red de distribución pública?(ITC-BT 40)",,"Se dispondrá al final de la instalación de enlace un equipo de medida que registre la energía suministrada por el autogenerador a la red. Dicho registro será independiente del registro de la energía aportada por la red de distribución","Se dispondrá al final de la instalación de enlace un equipo de medida que registre la energía suministrada por el autogenerador a la red. Dicho registro no será independiente del registro de la energía aportada por la red de distribución","Ninguna de las respuestas anteriores es correcta","Se dispondrá al final de la instalación de enlace un equipo de medida que registre la energía suministrada por el autogenerador a la red. Dicho registro será independiente del registro de la energía aportada por la red de distribución"
44,"Calcular la resistencia de una pica vertical que tiene 2,5 m de longitud enterrada y se encuentra instalada en un terreno cuya resistividad es de 500 Ω x m.(ITC-BT 18)",,"200 Ω","400 Ω","96 Ω","200 Ω"
45,"¿Dónde termina la instalación de enlace?(ITC-BT 12)",,"En la caja general de protección","En la centralización de contadores","En los dispositivos generales de mando y protección"," En los dispositivos generales de mando y protección"
46,"¿Qué tipo de aislamiento deben tener los conductores en locales húmedos? (ITC-BT 26)",,"PVC","Polietileno reticulado","Caucho o equivalente","Caucho o equivalente"
47,"¿Cuál es la resistencia máxima permitida para una toma de tierra en instalaciones de BT? (ITC-BT 18)",,"10 Ω","5 Ω","2 Ω","5 Ω"
48,"¿Qué sección mínima debe tener el conductor de tierra principal de un edificio? (ITC-BT 18)",,"10 mm²","16 mm²","25 mm²","16 mm²"
49,"¿Qué tipo de protección contra incendios debe tener un cuadro eléctrico en zonas comunes? (ITC-BT 17)",,"IP44","IP65","Material no propagador de la llama","Material no propagador de la llama"
50,"¿Qué ITC regula las instalaciones en locales de pública concurrencia?",,"ITC-BT 28","ITC-BT 30","ITC-BT 32","ITC-BT 28"
51,"¿Cuál es la profundidad mínima de enterramiento de cables en terrenos no transitados? (ITC-BT 07)",,"30 cm","50 cm","60 cm","50 cm"
52,"¿Qué norma específica los colores de los conductores? (ITC-BT 19)",,"UNE 21123","UNE 20460-5-51","UNE 60670","UNE 20460-5-51"
53,"¿Qué dispositivo se recomienda para proteger líneas de alumbrado exterior? (ITC-BT 09)",,"Magnetotérmico","Interruptor diferencial","Protección contra sobretensiones","Protección contra sobretensiones"
54,"¿Qué intensidad nominal debe soportar una base de enchufe doméstica estándar? (ITC-BT 25)",,"10 A","16 A","20 A","16 A"
55,"¿Qué clase de protección IP se exige para cajas en exteriores? (ITC-BT 07)",,"IP21","IP44","IP67","IP44"
56,"¿Qué instalación debe llevar sistema de corte omnipolar? (ITC-BT 17)",,"Cualquier circuito interior","Solo circuitos trifásicos","Solo alumbrado exterior","Cualquier circuito interior"
57,"¿Qué requisito debe cumplir una canalización empotrada en hormigón? (ITC-BT 21)",,"Ser de tubo corrugado","Ser de tubo rígido y continuo","No se permite canalización empotrada","Ser de tubo rígido y continuo"
58,"¿Qué dispositivos son obligatorios en instalaciones con riesgo de incendio? (ITC-BT 29)",,"Detector de humo","Interruptores automáticos","Disyuntores diferenciales","Disyuntores diferenciales"
59,"¿Qué sección mínima debe tener el conductor de protección en instalaciones de viviendas? (ITC-BT 19)",,"1,5 mm²","2,5 mm²","4 mm²","2,5 mm²"
60,"¿Qué cable se usa normalmente para acometidas subterráneas de BT? (ITC-BT 14)",,"RV-K","H05VV-F","H07V-K","RV-K"
61,"¿Qué distancia mínima debe existir entre líneas eléctricas y canalizaciones de gas? (ITC-BT 21)",,"5 cm","10 cm","15 cm","15 cm"
62,"¿Qué normativa establece las condiciones técnicas de seguridad en locales de piscinas? (ITC-BT 31)",,"ITC-BT 28","ITC-BT 31","ITC-BT 37","ITC-BT 31"
63,"¿Qué valor de corriente se considera como umbral de fibrilación ventricular? (PRL)",,"30 mA","50 mA","100 mA","50 mA"
64,"¿Qué requisito de instalación existe para tubos enterrados en vías públicas? (ITC-BT 07)",,"Uso de tubo corrugado","Hormigonado obligatorio","Protección con cinta de advertencia","Hormigonado obligatorio"
65,"¿Qué medida de seguridad eléctrica exige el RD 614/2001?",,"Señalización permanente","Uso exclusivo de guantes dieléctricos","Solo inspección anual","Señalización permanente"
66,"¿Cuál es el grado mínimo de protección IP exigido para cuadros eléctricos en garajes? (ITC-BT 28)",,"IP20","IP44","IP65","IP44"
67,"¿Qué componente no debe faltar en un cuadro eléctrico doméstico? (ITC-BT 25)",,"Interruptor diferencial","Transformador","Rectificador","Interruptor diferencial"
68,"¿Qué elementos deben incluir las instalaciones en quirófanos? (ITC-BT 38)",,"Sistema IT médico","Solo diferencial","Solo magnetotérmico","Sistema IT médico"
69,"¿Qué tipo de sistema de puesta a tierra es obligatorio en viviendas? (ITC-BT 08)",,"TN-S","IT","TT","TT"
70,"¿Qué IP mínimo deben tener las luminarias instaladas en exteriores? (ITC-BT 09)",,"IP21","IP44","IP65","IP65"
71,"¿Qué función tiene un seccionador en una instalación eléctrica? (ITC-BT-17)",ITC-BT-17,"Proteger contra sobrecargas","Interrumpir la corriente de forma segura","Detectar fugas a tierra","Interrumpir la corriente de forma segura"
72,"¿Qué norma regula las características de las instalaciones interiores en edificios? (ITC-BT-25)",ITC-BT-25,"ITC-BT-19","ITC-BT-25","ITC-BT-26","ITC-BT-25"
73,"¿Cuál es la finalidad de un transformador de aislamiento? (ITC-BT-38)",ITC-BT-38,"Incrementar la tensión","Reducir las pérdidas eléctricas","Proteger contra descargas eléctricas","Proteger contra descargas eléctricas"
74,"¿Qué documento acredita la capacidad técnica de una empresa instaladora? (ITC-BT-03)",ITC-BT-03,"Certificado de instalación","Carné profesional de instalador","Autorización administrativa","Autorización administrativa"
75,"¿Qué protección se debe instalar en un punto de recarga para vehículo eléctrico? (ITC-BT-52)",ITC-BT-52,"Interruptor horario","Protección diferencial y magnetotérmica","Contactor auxiliar","Protección diferencial y magnetotérmica"
76,"¿Qué significa la sigla IP en un material eléctrico? (UNE 20324)",,"Índice de Protección","Intensidad Permitida","Instalación Protegida","Índice de Protección"
77,"¿Qué tipo de lámparas son más eficientes energéticamente? (Guía IDAE)",,"Incandescentes","LED","Halógenas","LED"
78,"¿En qué parte de la instalación se sitúan normalmente los diferenciales? (ITC-BT-24)",ITC-BT-24,"En la acometida","En el cuadro general de distribución","En la toma de tierra","En el cuadro general de distribución"
79,"¿Qué dispositivo permite el arranque suave de un motor eléctrico? (ITC-BT-47)",ITC-BT-47,"Variador de frecuencia","Interruptor automático","Relé térmico","Variador de frecuencia"
80,"¿Qué material es comúnmente usado para conductores eléctricos en viviendas? (ITC-BT-19)",ITC-BT-19,"Aluminio","Cobre","Acero","Cobre"
81,"¿Qué es una carga inductiva? (ITC-BT-19)",ITC-BT-19,"Una carga que genera calor","Una carga que produce campo magnético","Una carga sin reactancia","Una carga que produce campo magnético"
82,"¿Qué dispositivo protege una instalación contra cortocircuitos? (ITC-BT-17)",ITC-BT-17,"Diferencial","Magnetotérmico","Interruptor horario","Magnetotérmico"
83,"¿Qué unidad mide la resistencia eléctrica? (Concepto general)",,"Ohmios","Amperios","Vatios","Ohmios"
84,"¿Qué aparato se usa para medir la intensidad de corriente? (Concepto general)",,"Voltímetro","Amperímetro","Multímetro","Amperímetro"
85,"¿Qué nombre recibe el conjunto de conductores que unen la CGP con el cuadro de contadores? (ITC-BT-14)",ITC-BT-14,"Derivación individual","Línea general de alimentación","Toma de tierra","Línea general de alimentación"
86,"¿Qué significa que un conductor sea libre de halógenos? (ITC-BT-19 + UNE 211002)",,"No contiene cloro, flúor ni bromo","Es reciclable","Es ignífugo","No contiene cloro, flúor ni bromo"
87,"¿Cuál es la función principal de un contactor? (ITC-BT-47)",ITC-BT-47,"Elevar la tensión","Controlar la apertura y cierre de un circuito","Proteger contra sobrecargas","Controlar la apertura y cierre de un circuito"
88,"¿Qué significa la sigla PE en un esquema eléctrico? (ITC-BT-18)",ITC-BT-18,"Protección Eléctrica","Puesta a Tierra","Punto de Entrada","Puesta a Tierra"
89,"¿Qué normativa regula las instalaciones de recarga de vehículo eléctrico? (ITC-BT-52)",ITC-BT-52,"ITC-BT-52","ITC-BT-40","ITC-BT-19","ITC-BT-52"
90,"¿Cuál es la sección mínima recomendada para cables de fuerza en instalaciones domésticas? (ITC-BT-25)",ITC-BT-25,"1,5 mm²","2,5 mm²","4 mm²","2,5 mm²"
91,"En relación con la instalación de rectificadores, ¿cómo se instalarán los circuitos de corriente continua? (ITC-BT 48)",,"Siguiendo las prescripciones que correspondan a su tensión asignada.","Siguiendo las prescripciones de la ITC-BT 49.","Ninguna de las respuestas anteriores es correcta.","Siguiendo las prescripciones que correspondan a su tensión asignada."
92,"¿Qué nombre tiene la corriente que circula debido a un defecto de aislamiento? (ITC-BT 01)",,"Corriente de defecto a tierra.","Corriente diferencial residual.","Corriente de defecto.","Corriente de defecto a tierra."
93,"Las prescripciones del Reglamento Electrotécnico de Baja Tensión y sus Instrucciones Técnicas Complementarias son de carácter general unas y de carácter específico otras: (REBT Artículo 2)",,"Las específicas sustituirán, modificarán o complementarán a las generales.","Las generales prevalecerán sobre las específicas.","Ninguna de las anteriores es correcta.","Las específicas sustituirán, modificarán o complementarán a las generales."
94,"¿Cómo se pueden realizar las canalizaciones bajo canales aislantes en un local mojado? (ITC-BT 30)",,"Se instalarán en superficie y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas.","Los conductores tendrán una tensión asignada de 450/750 V.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
95,"Los interruptores diferenciales: (ITC-BT 24)",,"Se emplean como medida de protección contra contactos directos cuando las instalaciones tienen tensiones superiores a 250 V.","Provocan el corte automático de la alimentación de la instalación que protegen cuando la suma vectorial de las tensiones que atraviesan los polos del aparato alcanza un valor predeterminado.","Se emplean como medida de protección complementaria contra contactos directos si tienen una sensibilidad igual o inferior a 30 mA.","Se emplean como medida de protección complementaria contra contactos directos si tienen una sensibilidad igual o inferior a 30 mA."
96,"¿Qué norma deben cumplir las canalizaciones eléctricas prefabricadas para uso general? (ITC-BT 20)",,"La norma UNE-EN 60570.","La norma UNE-EN 60439-2.","La norma UNE 60439-2.","La norma UNE-EN 60439-2."
97,"En una instalación generadora asistida, ¿puede utilizarse la toma de tierra de las masas para la puesta a tierra del neutro? (ITC-BT 40)",,"Sí, previa autorización específica del Órgano competente de la Comunidad Autónoma.","Sí, siempre.","No, en ningún caso.","Sí, previa autorización específica del Órgano competente de la Comunidad Autónoma."
98,"La caída de tensión en la línea general de alimentación se entiende que es desde la caja general de protección hasta: (ITC-BT 14)",,"La centralización de contadores.","El interruptor de control de potencia.","Los dispositivos generales de mando y protección.","La centralización de contadores."
99,"Cualquier variación en las condiciones y requisitos establecidos para la concesión del certificado de instalador autorizado en baja tensión, cuando se dejan de cumplir los requisitos necesarios para la concesión del certificado: (ITC-BT 03)",,"Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 1 mes.","Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 1 año.","Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 15 días.","Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 1 mes."
100,"En las instalaciones de pediluvios, ¿a qué distancia está el plano horizontal que delimita el volumen 1? (ITC-BT 31)",,"A 1,5 m del borde del recipiente.","A 2 m del borde del recipiente.","A 2,5 m por encima del suelo o de la superficie.","A 2,5 m por encima del suelo o de la superficie."
101,"La caída de tensión máxima a considerar en la derivación individual de una carpintería instalada en un edificio industrial que tiene los contadores centralizados por plantas será: (ITC-BT 15)",,"1%.","0,5%.","1,5%.","1%."
102,"¿Cuál es la sección mínima para el hilo de mando de una derivación individual? (ITC-BT 15)",,"6 mm².","1,5 mm².","2,5 mm².","1,5 mm²."
103,"¿Hasta qué valor es obligatorio compensar el factor de potencia de una lámpara de descarga? (ITC-BT 44)",,"Hasta un valor mínimo de 0,8.","Hasta un valor mínimo de 0,89.","Hasta un valor mínimo de 0,9.","Hasta un valor mínimo de 0,9."
104,"¿Cuál es la sección mínima del conductor neutro de aluminio de una línea general de alimentación? (ITC-BT 14)",,"10 mm².","16 mm².","25 mm².","16 mm²."
105,"En las instalaciones receptoras los conductores o los cables podrán ser: (ITC-BT 19)",,"Sólo de cobre.","De cobre o aluminio y estarán siempre aislados.","De cobre o aluminio y estarán siempre aislados, excepto cuando vayan sobre aisladores.","De cobre o aluminio y estarán siempre aislados, excepto cuando vayan sobre aisladores."
106,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio industrial si no está protegido contra la corrosión y no protegido mecánicamente, el conductor de fase es de 25 mm² y el conductor de tierra no está enterrado. (ITC-BT 18)",,"16 mm².","25 mm².","35 mm².","16 mm²."
107,"¿Cómo serán los cables instalados en el volumen 0 de una fuente? (ITC-BT 31)",,"Los cables serán de las características indicadas para los locales mojados en la ITC-BT 30, además se instalarán lo más cerca posible del borde de la pileta.","Los cables serán de las características indicadas para los locales mojados en la ITC-BT 30, además se instalarán lo más lejos posible del borde de la pileta.","Los cables serán de tensión asignada mínima 0,6/1 kV y podrán ir directamente sumergidos en el agua.","Los cables serán de tensión asignada mínima 0,6/1 kV y podrán ir directamente sumergidos en el agua."
108,"Antes de hacer los cimientos de una vivienda se instalará en el fondo de la zanja de cimentación un cable rígido de cobre desnudo, ¿qué sección mínima tendrá? (ITC-BT 26)",,"35 mm² de sección mínima.","Según ITC-BT 19.","Según ITC-BT 18.","35 mm² de sección mínima."
109,"En la instalación de una toma de tierra de protección en una vivienda, ¿deberán disponerse obligadamente electrodos (por ejemplo picas) hincados verticalmente en el terreno? (ITC-BT 26)",,"Es obligatorio hacer un anillo perimetral con cable rígido de cobre desnudo. A este anillo deberán conectarse electrodos hincados verticalmente en el terreno cuando se prevea la necesidad de disminuir su resistencia de tierra.","Sí, siempre es obligatorio.","El anillo perimetral no es obligatorio pero sí los electrodos hincados verticalmente.","Es obligatorio hacer un anillo perimetral con cable rígido de cobre desnudo. A este anillo deberán conectarse electrodos hincados verticalmente en el terreno cuando se prevea la necesidad de disminuir su resistencia de tierra."
110,"Indíquese el porcentaje máximo, respecto de la potencia total contratada para el suministro normal, del suministro complementario obligatorio que debe tener una estación de trenes. (Artic. 10.1.B REBT)",,"25%.","50%.","No existe limitación máxima de potencia.","50%."
111,"Indíquese si alguno de los siguientes requisitos es necesario para obtener la autorización como instalador autorizado en baja tensión: (ITC-BT 03)",,"Estar dado de alta en el impuesto de actividades económicas.","No estar incluido en el censo de obligaciones tributarias.","Las dos anteriores son necesarias.","Estar dado de alta en el impuesto de actividades económicas."
112,"Los interruptores diferenciales: (ITC-BT 24)",,"No constituyen por sí mismos una protección contra contactos directos.","No constituyen por sí mismos una protección contra contactos indirectos.","No constituyen por sí mismos una protección contra contactos indirectos en un esquema TN-S.","No constituyen por sí mismos una protección contra contactos directos."
113,"Los equipos eléctricos del volumen 0 de piscinas han de tener un grado de protección: (ITC-BT 31 2.2 Prescripciones generales)",,"IP X5.","IP X6.","IP X8.","IP X8."
114,"¿Cuáles de los siguientes equipos se consideran de categoría III para la protección contra sobretensiones? (ITC-BT 23)",,"Contadores de energía.","Ordenadores.","Ninguna de las respuestas anteriores es correcta.","Contadores de energía."
115,"En una instalación generadora aislada de baja tensión, ¿qué tasa de armónicos tendrán como máximo los generadores? (ITC-BT 40)",,"Para armónicos de orden 5, la tasa de armónicos será como máximo de 5.","Para armónicos de orden 3, la tasa de armónicos será como máximo de 3.","La tasa de armónicos será como máximo de 5 en cualquier caso.","Para armónicos de orden 5, la tasa de armónicos será como máximo de 5."
116,"¿A qué distancia se recomienda poner los recorridos verticales de los tubos empotrados con respecto a los ángulos de las esquinas? (ITC-BT 21)",,"20 cm.","35 cm.","40 cm.","20 cm."
117,"El cableado interno de un receptor de alumbrado tendrá una tensión asignada mínima de: (ITC-BT 44)",,"300/300 V.","450/750 V.","0,6/1 kV.","450/750 V."
118,"¿Cuál es el objetivo general del alumbrado de emergencia? (ITC-BT 28)",,"Garantizar la seguridad de las personas que evacuen una zona o que tienen que terminar un trabajo potencialmente peligroso antes de abandonar la zona.","Permitir la continuidad de las actividades normales.","Asegurar, en caso de fallo de la alimentación del alumbrado normal, la iluminación en los locales y accesos hasta las salidas para una eventual evacuación del público o iluminar otros puntos que se señalen.","Asegurar, en caso de fallo de la alimentación del alumbrado normal, la iluminación en los locales y accesos hasta las salidas para una eventual evacuación del público o iluminar otros puntos que se señalen."
119,"El aislamiento cuyas características mecánicas y eléctricas le hacen equivalente a un doble aislamiento recibe el nombre de: (ITC-BT 01)",,"Aislamiento normal.","Aislamiento reforzado.","Aislamiento funcional.","Aislamiento reforzado."
120,"¿Qué factor de reducción por simultaneidad se tendrá que aplicar a la carga correspondiente a los servicios generales de un edificio de viviendas? (ITC-BT 10)",,"Depende del número de viviendas.","No se aplica factor de simultaneidad.","Ninguna de las anteriores respuestas es correcta.","No se aplica factor de simultaneidad."
121,"¿Cuál es la longitud que se considera para calcular la caída de tensión de la línea general de alimentación? (ITC-BT 14)",,"Desde la caja general de protección hasta el cuadro de protección de cada abonado.","Desde la caja general de protección hasta la acometida.","Desde la caja general de protección hasta la centralización de contadores.","Desde la caja general de protección hasta la centralización de contadores."
122,"¿Cómo se podrá alimentar el alumbrado de seguridad? (ITC-BT 28)",,"Con un suministro normal exterior.","Con fuentes propias de energía.","Ninguna respuesta anterior es correcta.","Con fuentes propias de energía."
123,"Indíquese el sistema de instalación no correcto para una vivienda: (ITC-BT 26)",,"Cables aislados bajo tubo curvable empotrado.","Cables aislados directamente empotrados.","Cables aislados bajo tubo rígido superficial.","Cables aislados directamente empotrados."
124,"¿Cómo se realizará la conexión entre el conductor en anillo de la toma de tierra y la estructura metálica de una vivienda? (ITC-BT 26)",,"Mediante grapas de conexión (perrillos).","De manera fiable y segura mediante soldadura aluminotérmica o autógena.","Las dos respuestas anteriores son correctas.","De manera fiable y segura mediante soldadura aluminotérmica o autógena."
